Step Time Temp Press Volume PotEng KinEng TotEng Enthalpy
1000 0.999 293.20324229199 19475.2745506503 47241.633375 -3.49999937164488 0.0378900187397295 -13848.4374116206 -13274.1912032913
2000 1.999 301.112052850741 19377.4834972493 47241.633375 -3.50102155774924 0.0389120571658312 -13848.4380023337 -13277.0752522826
3000 2.999 292.460825271606 19328.0448156762 47241.633375 -3.50093857560821 0.0377940777992571 -13852.5779912358 -13282.67298574
4000 3.999 302.312860075537 19375.2492309199 47241.633375 -3.50112153334534 0.0390672348776964 -13848.2171938706 -13276.9203231972
5000 4.999 296.319368786081 19312.4498277035 47241.633375 -3.50141735590853 0.0382927090044534 -13852.4985876163 -13283.0534145449
6000 5.999 303.70643966457 19385.9644419065 47241.633375 -3.50125689258214 0.039247324143869 -13848.0382737531 -13276.4254553243
7000 6.999 301.924114958034 19473.3991338228 47241.633375 -3.50102662615676 0.0390169981897526 -13848.038511868 -13273.847601912
8000 7.999 296.003837027337 19696.1922113507 47241.633375 -3.50026121759658 0.0382519335199862 -13848.0371363064 -13267.2769695381
9000 8.999 304.028338144676 19431.2154688145 47241.633375 -3.50129844560383 0.0392889223859217 -13848.0380928716 -13275.0910066996
10000 9.999 306.442586033633 19278.3415697278 47241.633375 -3.50161113040525 0.0396009104016061 -13848.0408800146 -13279.6014199956
11000 10.999 300.161668066475 19568.2860275876 47241.633375 -3.50079913767815 0.03878924100253 -13848.0395867025 -13271.0508502602
12000 11.999 299.652344774537 19673.6108199256 47241.633375 -3.50073280775736 0.0387234222587629 -13848.0375419944 -13267.9432081196
13000 12.999 302.799890609359 19494.2347919082 47241.633375 -3.50113958134733 0.0391301727767084 -13848.0376342825 -13273.2323659706
14000 13.999 293.783928325433 19384.453725213 47241.633375 -3.50102386529879 0.0379650595357216 -13852.2352230523 -13280.6669494812
15000 14.999 293.678857688294 19435.2227834155 47241.633375 -3.50101044879235 0.0379514814852911 -13852.2358692283 -13279.1706237353
16000 15.999 296.205771324738 19312.8218800292 47241.633375 -3.50133726313655 0.0382780290510347 -13852.2369363421 -13282.780792969
17000 16.999 297.867561997906 19242.7742489608 47241.633375 -3.50155193844275 0.0384927786535821 -13852.2366391567 -13284.8459139854
18000 17.999 311.426569454058 19112.2367530157 47241.633375 -3.50225591627756 0.0402449797636029 -13848.0437460558 -13284.5020378469
19000 18.999 297.157786233529 19234.7777550433 47241.633375 -3.50159325954954 0.0384010558717908 -13852.768814711 -13285.6138734462
20000 19.999 297.465255365766 19616.566279721 47241.633375 -3.50059616854394 0.0384407894405307 -13848.6215164136 -13270.2091927633
21000 20.999 301.218673465825 19457.244033974 47241.633375 -3.50108134013834 0.0389258355165479 -13848.6220184872 -13274.9074563644
